avg_volume,Volume
973395,223678
88597,42802
15282667,1066597
564531,114922
41481524,2042704
2690555,341276
33386,18511
95506,41678
149019,84328
77922306,4215825
3867847,785160
1445866,242438
28744,21866
6959738,1376940
3945716,454083
6507294,877156
7088111,901365
6614104,839039
104124,54217
251895,90855
1206246,300342
772913,470591
451485,147798
9329429,1589792
121468,53545
6066891,576667
349096,100992
442442,98439
1434809,312692
346973,180158
207220,73477
915998,207826
8126318,737833
414133,106194
9830379,927670
