instrument_token,tradingsymbol,avg_volume,total_volume
26625,SHAREINDIA,356603,10193671 
339969,MARINE,204451,542677
416769,BECTORFOOD,106810,133707
655873,HUHTAMAKI,203931,534541
693505,MTARTECH,226400,603783
720897,RALLIS,852324,2847946
724225,ANURAS,215794,297219
979713,ZUARIIND,332587,3764381
1321473,TATVA,185386,250918
1883649,DATAPATTNS,284369,293585
2791681,GENESYS,147151,874162
2925313,NDTV,78365,427042
3823873,CIEINDIA,134373,2436304
3982081,HCG,262383,497836
4066049,HINDWAREAP,261355,358973
4451329,ADANIPOWER,4874342,46013973
4610817,WHIRLPOOL,172322,859625
5064449,MUFIN,317794,580324
7384833,VENTIVE,114978,192830
