date,loss,profit,mb,total,TRADED
2026-01-01,3,8,4,3330,0
2026-01-02,2,7,1,2020,0
2026-01-03,5,1,0,-570,0
2026-01-04,3,5,1,1290,0
2026-01-05,4,3,1,560,0
2026-01-08,3,3,0,330,0
2026-01-09,0,1,0,280,0
2026-01-12,0,0,0,0,0
2026-01-13,1,0,0,-184,1
2026-01-14,0,3,0,840,0
2026-01-15,Holiday,Holiday,Holiday,Holiday,0
2026-01-16,1,5,0,1230,0
2026-01-19,0,1,0,139,1
2026-01-20,0,0,0,0,0
2026-01-21,0,0,0,0,0
2026-01-22,FUCKZERODHA, , , ,0
2026-01-23,0,2,0,248,1
2026-01-24,SATURDAY, , ,,0
2026-01-25,SUNDAY, , ,,0
2026-01-26,REPUBLIC, , ,,0
2026-01-27,0,1,0,171,1
2026-01-28,FUCKGITHUB, , ,,0
2026-01-29,0,6,2,2480,0
2026-01-30,1,1,0,-4,1
2026-01-31,SATURDAY,,,,
2026-02-01,0,0,0,0,1
2026-02-02,1,0,0,-120,1
2026-02-03,1,0,0,-150,1
2026-02-04,1,7,0,913,1



